property,address,distance_mi,units,year_built,stories,owner,management_company,ownership_type,renovation_status,renovation_year,condition_rating,cap_rate_est,last_sale_date,last_sale_price,notes
The Ashton,"2525 McKinney Ave, Dallas, TX 75201",0,198,2019,24,,,,,,,,,,Last collected: 2026-02-01
The Residences at The Ritz-Carlton,"2555 N Pearl St, Dallas, TX 75201",0.3,188,2020,25,,,,,,,,,,Last collected: 2026-02-01
The Victor,"2323 N Houston St, Dallas, TX 75219",0.5,344,2021,29,,,,,,,,,,Last collected: 2026-02-01
Cirque,"2609 Thomas Ave, Dallas, TX 75204",0.4,363,2018,28,,,,,,,,,,Last collected: 2026-02-01
The Taylor,"2929 Carlisle St, Dallas, TX 75204",0.6,270,2017,20,,,,,,,,,,Last collected: 2026-02-01
Amli Design District,"1400 Hi Line Dr, Dallas, TX 75207",1.2,390,2015,5,,,,,,,,,,Last collected: 2026-02-01
Alexan Uptown,"2600 Cedar Springs Rd, Dallas, TX 75201",0.7,298,2019,8,,,,,,,,,,Last collected: 2026-02-01
Gables McKinney Ave,"2500 McKinney Ave, Dallas, TX 75201",0.1,215,2014,6,,,,,,,,,,Last collected: 2026-02-01
The Katy,"3000 Katy Trail, Dallas, TX 75204",0.8,276,2016,7,,,,,,,,,,Last collected: 2026-02-01
The Ashton,"2525 McKinney Ave, Dallas, TX 75201",0,198,2019,24,,,,,,,,,,Last collected: 2026-02-01
The Residences at The Ritz-Carlton,"2555 N Pearl St, Dallas, TX 75201",0.3,188,2020,25,,,,,,,,,,Last collected: 2026-02-01
The Victor,"2323 N Houston St, Dallas, TX 75219",0.5,344,2021,29,,,,,,,,,,Last collected: 2026-02-01
Cirque,"2609 Thomas Ave, Dallas, TX 75204",0.4,363,2018,28,,,,,,,,,,Last collected: 2026-02-01
The Taylor,"2929 Carlisle St, Dallas, TX 75204",0.6,270,2017,20,,,,,,,,,,Last collected: 2026-02-01
Amli Design District,"1400 Hi Line Dr, Dallas, TX 75207",1.2,390,2015,5,,,,,,,,,,Last collected: 2026-02-01
Alexan Uptown,"2600 Cedar Springs Rd, Dallas, TX 75201",0.7,298,2019,8,,,,,,,,,,Last collected: 2026-02-01
Gables McKinney Ave,"2500 McKinney Ave, Dallas, TX 75201",0.1,215,2014,6,,,,,,,,,,Last collected: 2026-02-01
The Katy,"3000 Katy Trail, Dallas, TX 75204",0.8,276,2016,7,,,,,,,,,,Last collected: 2026-02-01
